Annotator,Video Name,Category,Scenario Level 1,Scenario Level 2,Ego_X,Ego_Y,Ego_Angle,Other_X,Other_Y,Other_Angle,Target not visible,Ego Emergency Maneuver Required,Unexpected Maneuver,Night or Low Light,Rain/Snow/Fog,Cyclist/Scooter Involved,Pedestrian Involved,Nothing Special Observed,Comment
Bram Romanus,00000.mp4,accident,Driving in Lane,PV cut-in,165,120,90,123,74,65.65891006330749,False,False,True,True,False,False,False,False,
Bram Romanus,00003.mp4,accident,Driving in Lane,PV braking / slower,88,160,90,85,70,90,False,False,False,True,True,False,False,False,
Bram Romanus,00004.mp4,accident,Leaving Lane,PV @ target lane,68,87,64.48612957246576,118,87,90.0,True,False,False,False,False,False,False,False,
Bram Romanus,00005.mp4,accident,Leaving Lane,PV @ target lane,134,139,115.86635679409451,86,125,90,True,False,False,False,False,False,False,False,
Bram Romanus,00006.mp4,accident,Driving in Lane,PV braking / slower,84,150,90,85,70,90,False,False,False,False,False,False,False,True,
Bram Romanus,00007.mp4,near-miss,Leaving Lane,PV @ target lane,97,163,118.84266013541206,59,88,111.37062226934319,False,False,False,False,False,False,False,True,
Bram Romanus,00008.mp4,accident,Leaving Lane,PV @ target lane,80,106,65.37643521383639,127,115,90,True,False,False,True,False,False,False,False,
Bram Romanus,00010.mp4,near-miss,Leaving Lane,PV @ target lane,134,92,138.81407483429035,73,112,90,False,False,False,False,False,False,False,True,
Bram Romanus,00013.mp4,near-miss,Driving in Lane,PV cut-in,69,111,90,134,85,161.565051177078,False,False,True,False,False,False,False,False,
Bram Romanus,00014.mp4,accident,Turning at intersection,Other vehicle approaching from front / opposite,109,140,199.88516511385544,85,70,271.41442321140215,False,False,False,True,False,False,False,False,
Bram Romanus,00015.mp4,accident,Driving in Lane,PV braking / slower,109,143,90,85,70,90,False,True,False,False,False,False,False,False,
Bram Romanus,00016.mp4,accident,Other,Add Comment,102,133,74.74488129694222,146,123,90,False,False,False,False,False,False,False,True,Target parked on the right side
Bram Romanus,00017.mp4,accident,Driving in Lane,PV stopped,88,145,90,85,70,90,False,False,False,True,False,False,False,False,
Bram Romanus,00018.mp4,accident,Driving in Lane,PV cut-in,102,85,90,63,91,75.20323775494266,True,False,False,False,False,False,False,False,
Bram Romanus,00019.mp4,accident,Straight at intersection,Other vehicle approaching from side,165,120,90,85,70,90,False,False,False,False,False,False,False,True,target not visible behind bus
Bram Romanus,00021.mp4,accident,Driving in Lane,PV stopped,85,143,90,85,70,90,False,False,False,False,False,False,False,True,
