Annotator,Video Name,Category,Scenario Level 1,Scenario Level 2,Ego_X,Ego_Y,Ego_Angle,Other_X,Other_Y,Other_Angle,Target not visible,Ego Emergency Maneuver Required,Unexpected Maneuver,Night or Low Light,Rain/Snow/Fog,Cyclist/Scooter Involved,Pedestrian Involved,Nothing Special Observed,Comment
Derzou,00000.mp4,accident,Driving in Lane,PV cut-in,165,120,90,126,74,66.03751102542182,False,False,False,True,False,False,False,False,
Derzou,00003.mp4,accident,Straight at intersection,PV Slower / Braking / Stopped,165,120,90,164,38,90,False,False,False,True,True,False,False,False,
Derzou,00004.mp4,accident,Leaving Lane,PV @ target lane,39,92,77.7352262721076,85,70,90,False,False,False,False,False,False,False,True,
Derzou,00005.mp4,near-miss,Leaving Lane,SV @ target lane,165,120,90,85,70,90,False,False,False,False,True,False,False,False,
Derzou,00006.mp4,accident,Driving in Lane,PV stopped,93,126,90,94,40,90,False,False,False,False,True,False,False,False,
Derzou,00007.mp4,near-miss,Leaving Lane,PV @ target lane,102,124,106.58733855692742,80,44,102.52880770915151,False,False,True,False,False,False,False,False,
Derzou,00008.mp4,accident,Leaving Lane,PV @ target lane,80,80,69.71744091108339,125,64,90,False,False,False,True,False,False,False,False,
Derzou,00010.mp4,near-miss,Leaving Lane,PV @ target lane,138,103,109.5731258304102,82,112,90,False,False,False,False,False,False,False,True,stubborn
Derzou,00013.mp4,near-miss,Driving in Lane,Oncoming vehicle,133,123,90,190,62,180.0,True,False,False,False,False,False,False,False,
Derzou,00014.mp4,accident,Leaving Lane,SV @ target lane,76,126,129.0938588862295,83,31,269.2151753970081,False,False,True,False,False,False,False,False,
Derzou,00015.mp4,accident,Driving in Lane,PV stopped,89,138,90,88,46,90,False,False,False,False,False,False,False,True,not attentive
Derzou,00016.mp4,accident,Driving in Lane,Other,152,80,83.36748538486154,190,62,90,False,False,False,False,False,False,False,True,falling a sleep? Phone?
Derzou,00017.mp4,accident,Driving in Lane,PV stopped,88,129,90,89,51,90,False,False,False,True,False,False,False,False,
Derzou,00018.mp4,accident,Driving in Lane,Oncoming vehicle,84,48,90,82,121,90,False,False,False,True,False,False,False,False,
Derzou,00019.mp4,near-miss,Driving in Lane,Oncoming vehicle,86,127,90,154,66,181.43209618416464,False,False,False,False,False,False,False,True,blinded by sun
Derzou,00021.mp4,accident,Driving in Lane,PV stopped,85,127,90,84,44,90,False,False,False,False,False,False,False,True,not attentive
Derzou,00022.mp4,accident,Driving in Lane,PV cut-in,86,98,90,35,73,59.23728046576109,False,False,True,False,False,False,False,False,
Derzou,00023.mp4,accident,Turning at intersection,Other vehicle approaching from side,81,97,90,78,35,1.193489423982035,False,False,False,False,False,False,False,True,
Derzou,00024.mp4,near-miss,Leaving Lane,PV @ target lane,107,118,98.58362148011395,79,42,91.46880071438582,False,False,False,False,False,False,False,True,
Derzou,00025.mp4,near-miss,Driving in Lane,PV cut-in,140,118,90,92,82,74.87599269168945,False,False,False,False,True,False,False,False,
Derzou,00026.mp4,accident,Driving in Lane,Other,82,125,90,137,56,90,False,False,False,False,False,False,False,True,unclear
Derzou,00027.mp4,near-miss,Driving in Lane,PV braking / slower,83,130,90,56,54,90.0,False,False,False,False,False,False,False,True,
Derzou,00028.mp4,accident,Driving in Lane,PV stopped,81,120,90.0,82,45,90,False,False,False,False,False,False,False,True,not attentive
Derzou,00029.mp4,accident,Driving in Lane,PV cut-out,88,107,90,133,54,114.77514056883193,False,False,False,False,False,False,False,True,
Derzou,00031.mp4,accident,Driving in Lane,PV cut-in,165,120,90,85,70,90,False,False,False,False,False,False,False,True,sunny
Derzou,00032.mp4,accident,Driving in Lane,PV cut-in,97,115,90,139,83,99.68878656036681,False,False,False,False,False,False,False,True,sunny
Derzou,00036.mp4,accident,Driving in Lane,Oncoming vehicle,97,104,90,152,42,178.45184230102205,False,False,False,False,False,False,False,True,
Derzou,00037.mp4,accident,Driving in Lane,Oncoming vehicle,136,107,90,76,37,358.492564241225,False,False,True,False,False,False,False,False,
Derzou,00039.mp4,accident,Driving in Lane,PV braking / slower,84,124,90,83,47,90,False,False,False,False,False,False,False,True,
Derzou,00040.mp4,accident,Straight at intersection,Other vehicle approaching from side,93,81,90.0,161,76,178.95837332399003,False,False,False,False,False,False,False,True,
Derzou,00041.mp4,accident,Driving in Lane,Oncoming vehicle,84,129,90,84,51,90,False,False,False,True,False,False,False,False,driving backward
Derzou,00042.mp4,accident,Straight at intersection,Other vehicle approaching from side,90,110,88.78112476486871,123,59,143.3658861240326,False,False,False,True,False,False,False,False,
Derzou,00043.mp4,accident,Driving in Lane,PV cut-in,87,128,90,67,58,68.96248897457819,False,False,True,False,False,False,False,False,
