Annotator,Video Name,Category,Scenario Level 1,Scenario Level 2,Ego_X,Ego_Y,Ego_Angle,Other_X,Other_Y,Other_Angle,Target not visible,Ego Emergency Maneuver Required,Unexpected Maneuver,Night or Low Light,Rain/Snow/Fog,Cyclist/Scooter Involved,Pedestrian Involved,Nothing Special Observed,Comment
Sergi Reboll Blasco,00260.mp4,accident,Straight at intersection,Other vehicle approaching from side,128,135,90,111,82,43.09084756700362,False,False,True,True,False,False,False,False,
Sergi Reboll Blasco,00262.mp4,accident,Other,Add Comment,85,162,90,85,70,90,False,False,True,True,False,False,False,False,truck PV reversing in to the EGO
Sergi Reboll Blasco,00263.mp4,accident,Straight at intersection,Other vehicle on the adjacent lane,101,179,67.98871680208065,148,140,84.68545433005525,True,False,False,True,False,False,False,False,
Sergi Reboll Blasco,00264.mp4,accident,Driving in Lane,PV cut-in,132,143,90,175,111,118.30075576600638,False,False,False,False,True,False,False,False,
Sergi Reboll Blasco,00265.mp4,accident,Driving in Lane,PV braking / slower,85,142,90,85,70,90,False,False,False,False,False,False,False,True,
Sergi Reboll Blasco,00266.mp4,accident,Driving in Lane,PV braking / slower,85,138,90,85,70,90,False,False,False,False,False,False,False,True,
Sergi Reboll Blasco,00269.mp4,accident,Straight at intersection,Other vehicle approaching from side,104,147,90,157,137,180.0,False,True,False,False,False,False,False,False,
Sergi Reboll Blasco,00270.mp4,accident,Leaving Lane,PV @ target lane,71,140,90,85,70,90,False,False,False,False,False,False,False,True,
Sergi Reboll Blasco,00271.mp4,accident,Driving in Lane,PV cut-in,123,123,90,92,81,82.03038960567865,False,False,True,True,False,False,False,False,
Sergi Reboll Blasco,00272.mp4,near-miss,Driving in Lane,PV cut-in,165,120,90,85,70,90,False,False,True,True,False,False,False,False,
Sergi Reboll Blasco,00273.mp4,accident,Straight at intersection,Other vehicle on the adjacent lane,126,150,90,89,124,63.97040780848655,False,False,True,True,False,False,False,False,
Sergi Reboll Blasco,00275.mp4,accident,Driving in Lane,PV braking / slower,85,138,90,85,70,90,False,False,False,False,False,False,False,True,
Sergi Reboll Blasco,00276.mp4,accident,Driving in Lane,PV braking / slower,93,133,90,85,70,90,False,False,False,False,False,False,False,True,
Sergi Reboll Blasco,00282.mp4,accident,Turning at intersection,PV Slower / Braking / Stopped,116,152,90,143,83,56.309932474020215,False,False,False,False,False,False,False,True,
Sergi Reboll Blasco,00283.mp4,accident,Driving in Lane,Other,106,115,90,109,60,188.13010235415598,False,True,True,False,False,False,False,False,Unexpected Uturn
Sergi Reboll Blasco,00284.mp4,accident,Straight at intersection,Other vehicle approaching from front / opposite,116,131,90,90,61,325.06068979532296,False,False,False,False,False,False,False,True,
