Annotator,Video Name,Category,Scenario Level 1,Scenario Level 2,Ego_X,Ego_Y,Ego_Angle,Other_X,Other_Y,Other_Angle,Target not visible,Ego Emergency Maneuver Required,Unexpected Maneuver,Night or Low Light,Rain/Snow/Fog,Cyclist/Scooter Involved,Pedestrian Involved,Nothing Special Observed,Comment
Stefaan,00521.mp4,accident,Turning at intersection,PV Slower / Braking / Stopped,96,162,84.68545433005525,127,79,57.264773727892404,False,False,False,True,False,False,False,False,
Stefaan,00522.mp4,accident,Driving in Lane,PV cut-in,97,147,90,136,119,104.62087398863166,False,False,False,True,False,False,False,False,
Stefaan,00523.mp4,accident,Driving in Lane,PV cut-in,88,120,88.66778014613037,129,76,148.17255342332692,False,False,True,True,False,False,False,False,
Stefaan,00526.mp4,accident,Turning at intersection,Other vehicle approaching from front / opposite,99,105,90,167,103,176.56636963754949,False,False,False,False,False,False,False,True,
Stefaan,00527.mp4,accident,Driving in Lane,PV stopped,77,149,90,85,70,90,False,False,False,False,False,False,False,True,
Stefaan,00528.mp4,accident,Driving in Lane,PV stopped,102,148,90,85,70,90,False,False,False,False,False,False,False,True,
Stefaan,00529.mp4,accident,Driving in Lane,PV braking / slower,105,143,90,85,70,90,False,False,False,False,False,False,False,True,
Stefaan,00530.mp4,accident,Driving in Lane,PV cut-in,120,90,90,81,104,80.53767779197439,False,False,False,False,False,False,False,True,
Stefaan,00533.mp4,accident,Leaving Lane,SV @ target lane,117,137,108.43494882292202,85,70,90,False,False,False,True,False,False,False,False,
Stefaan,00534.mp4,accident,Driving in Lane,PV stopped,85,144,90,85,70,90,False,False,False,True,False,False,False,False,
Stefaan,00537.mp4,accident,Straight at intersection,Other vehicle approaching from side,97,124,91.46880071438582,100,68,178.75463573323165,False,False,False,False,False,False,False,True,
Stefaan,00538.mp4,accident,Driving in Lane,PV stopped,98,147,90,95,66,93.65222278030635,False,False,False,False,False,False,False,True,
Stefaan,00539.mp4,accident,Leaving Lane,PV @ target lane,131,130,78.40782458970894,154,54,90,False,False,False,False,False,False,False,True,
Stefaan,00540.mp4,accident,Straight at intersection,Other vehicle approaching from side,83,146,90,127,79,195.94539590092288,False,False,False,True,False,False,False,False,
Stefaan,00541.mp4,accident,Turning at intersection,Other vehicle approaching from front / opposite,125,141,85.71084667118099,174,88,177.91743472026914,False,False,False,False,False,False,False,True,
Stefaan,00542.mp4,accident,Straight at intersection,Other vehicle approaching from side,150,131,90,108,73,0.0,False,False,False,True,False,False,False,False,
Stefaan,00543.mp4,accident,Driving in Lane,PV stopped,86,143,90,85,70,90,False,False,False,True,False,False,False,False,
Stefaan,00544.mp4,accident,Driving in Lane,PV stopped,85,144,90,85,70,90,False,False,False,False,False,False,False,True,
Stefaan,00546.mp4,accident,Other,Add Comment,89,148,90,129,109,90,False,False,False,True,False,False,False,False,opening of door
Stefaan,00547.mp4,accident,Driving in Lane,PV stopped,85,143,90,85,70,90,False,False,False,False,False,False,False,True,
Stefaan,00549.mp4,accident,Straight at intersection,Other vehicle approaching from side,165,120,90,121,57,316.80873932249204,False,False,False,False,False,False,False,True,
Stefaan,00550.mp4,accident,Driving in Lane,PV stopped,86,146,90,85,70,90,False,False,False,False,False,False,False,True,
Stefaan,00551.mp4,accident,Leaving Lane,Other,99,103,168.6900675259798,113,45,268.58557678859785,False,False,False,False,False,False,False,True,turning left
Stefaan,00553.mp4,accident,Straight at intersection,Other vehicle approaching from front / opposite,165,120,90,163,60,349.46081627137175,False,False,False,True,False,False,False,False,
Stefaan,00554.mp4,accident,Driving in Lane,PV stopped,70,146,90,85,70,90,False,False,False,False,False,False,False,True,
Stefaan,00556.mp4,near-miss,Straight at intersection,Other vehicle approaching from side,87,156,90,85,70,90,False,False,False,False,False,False,False,True,
Stefaan,00557.mp4,near-miss,Driving in Lane,PV cut-in,140,150,90,111,54,72.64597536373867,False,False,False,True,False,False,False,False,
Stefaan,00558.mp4,near-miss,Straight at intersection,Other vehicle on the adjacent lane,87,120,90,144,78,144.60520415501296,False,False,False,True,True,False,False,False,
Stefaan,00560.mp4,near-miss,Driving in Lane,PV cut-in,82,128,90,118,63,101.04094018032374,False,False,False,False,False,False,False,True,
Stefaan,00562.mp4,near-miss,Driving in Lane,PV cut-in,165,120,90,124,74,78.69006752597979,False,False,False,False,False,False,False,True,
Stefaan,00563.mp4,near-miss,Other,Add Comment,44,101,90,85,70,90,False,False,False,False,False,False,False,True,door opening
Stefaan,00564.mp4,near-miss,Driving in Lane,PV stopped,85,140,90,85,70,90,False,False,False,False,False,False,False,True,
Stefaan,00565.mp4,near-miss,Driving in Lane,PV braking / slower,84,145,90,85,70,90,False,False,False,False,False,False,False,True,
Stefaan,00566.mp4,accident,Driving in Lane,PV cut-in,57,122,90,100,103,99.92624550665171,False,False,False,False,False,False,False,True,
Stefaan,00567.mp4,near-miss,Driving in Lane,PV cut-in,165,120,90,127,79,90,False,False,False,True,False,False,False,False,
Stefaan,00568.mp4,near-miss,Straight at intersection,Other vehicle on the adjacent lane,85,117,90,125,67,96.7889745744388,False,False,True,False,False,False,False,False,
Stefaan,00570.mp4,near-miss,Driving in Lane,PV cut-in,165,120,90,126,73,77.98852161363456,False,False,True,True,False,False,False,False,
Stefaan,00571.mp4,near-miss,Turning at intersection,Other vehicle on the adjacent lane,79,140,65.1706534118504,124,72,90,False,False,False,False,False,False,False,True,turning right unexpected
Stefaan,00573.mp4,near-miss,Driving in Lane,PV cut-in,54,146,90,75,63,90,False,False,True,False,True,False,False,False,
Stefaan,00574.mp4,near-miss,Driving in Lane,PV cut-in,85,116,90.0,105,35,109.4400348281762,False,False,False,False,False,False,False,True,
Stefaan,00577.mp4,near-miss,Driving in Lane,PV cut-in,120,130,90,153,75,120.96375653207352,False,False,True,False,False,False,False,False,
Stefaan,00579.mp4,near-miss,Driving in Lane,PV cut-in,111,133,90,136,52,110.1706534118504,False,False,True,False,False,False,False,False,
Stefaan,00580.mp4,near-miss,Driving in Lane,Oncoming vehicle,126,142,90,83,61,339.19320898728876,False,False,True,False,False,False,False,False,
Stefaan,00581.mp4,near-miss,Straight at intersection,Other vehicle on the adjacent lane,149,132,90,111,72,48.94518622903756,False,False,True,False,False,False,False,False,
Stefaan,00583.mp4,near-miss,Driving in Lane,PV braking / slower,116,152,84.92039213998542,142,70,57.425942865427494,False,False,False,True,False,False,False,False,
Stefaan,00584.mp4,near-miss,Leaving Lane,SV @ target lane,133,117,90,92,79,61.50436138175502,False,False,False,False,False,False,False,True,
Stefaan,00585.mp4,near-miss,Driving in Lane,PV cut-in,124,119,90,87,64,76.55138494831348,False,False,False,False,False,False,False,True,
Stefaan,00586.mp4,near-miss,Driving in Lane,PV stopped,86,148,90,85,70,90,False,False,False,True,True,False,False,False,
Stefaan,00587.mp4,near-miss,Driving in Lane,PV cut-in,133,140,90,96,82,74.98163936884933,False,False,False,False,False,False,False,True,
Stefaan,00588.mp4,near-miss,Driving in Lane,PV cut-in,98,144,90,137,84,115.46334506187162,False,False,False,True,False,False,False,False,
Stefaan,00589.mp4,near-miss,Driving in Lane,PV stopped,86,147,90,85,70,90,False,False,False,False,False,False,False,True,
Stefaan,00590.mp4,near-miss,Driving in Lane,PV braking / slower,85,147,90,85,70,90,False,False,True,True,False,False,False,False,
Stefaan,00591.mp4,near-miss,Turning at intersection,Other vehicle approaching from side,126,139,90,84,80,72.40757543781841,False,False,False,False,False,False,False,True,
Stefaan,00592.mp4,near-miss,Turning at intersection,Other vehicle on the adjacent lane,94,142,90,130,79,125.53767779197437,True,False,True,False,False,False,False,False,
Stefaan,00593.mp4,near-miss,Straight at intersection,PV Slower / Braking / Stopped,96,151,90,142,71,42.87890360333855,False,False,True,False,False,False,False,False,
Stefaan,00594.mp4,near-miss,Straight at intersection,PV Slower / Braking / Stopped,86,148,90,85,70,90,False,False,False,True,False,False,False,False,
Stefaan,00596.mp4,near-miss,Driving in Lane,PV cut-in,85,157,90,85,70,90,False,False,True,False,False,False,False,False,
Stefaan,00597.mp4,near-miss,Driving in Lane,PV braking / slower,84,154,90,85,70,90,False,False,False,False,False,False,False,True,
Stefaan,00598.mp4,near-miss,Leaving Lane,Other,78,159,90,115,101,110.69545073406329,False,False,False,False,False,False,False,True,passing
Stefaan,00599.mp4,near-miss,Driving in Lane,PV stopped,86,151,90,85,70,90,False,False,False,False,False,False,False,True,
Stefaan,00600.mp4,near-miss,Driving in Lane,PV stopped,86,150,90,85,70,90,False,False,False,False,False,False,False,True,
Stefaan,00601.mp4,near-miss,Driving in Lane,PV stopped,86,148,90,85,70,90,False,False,False,False,False,False,False,True,
Stefaan,00602.mp4,near-miss,Driving in Lane,PV cut-in,85,127,90,129,85,114.67686317033706,False,False,True,False,False,False,False,False,
Stefaan,00603.mp4,near-miss,Driving in Lane,PV cut-in,114,141,90,154,88,109.5731258304102,False,False,True,False,False,False,False,False,
Stefaan,00604.mp4,near-miss,Leaving Lane,PV @ target lane,155,104,110.40988283380399,91,59,67.98871680208065,False,False,False,False,False,False,False,True,
Stefaan,00605.mp4,near-miss,Straight at intersection,Other vehicle approaching from side,131,152,90.0,91,79,27.012665347938544,False,False,False,False,False,False,False,True,
Stefaan,00606.mp4,near-miss,Driving in Lane,Other,131,124,97.27500495788927,85,70,90,False,False,False,False,False,False,False,True,left turn
Stefaan,00607.mp4,near-miss,Driving in Lane,PV cut-out,165,120,90,121,40,152.8188889145228,False,False,False,False,False,False,False,True,
Stefaan,00608.mp4,near-miss,Driving in Lane,PV stopped,87,148,90,85,70,90,False,False,False,False,False,False,False,True,
Stefaan,00609.mp4,near-miss,Straight at intersection,Other vehicle approaching from side,98,144,91.63657704161672,142,49,199.85521436932103,False,False,False,False,False,False,False,True,
Stefaan,00610.mp4,near-miss,Driving in Lane,PV cut-in,91,153,90,91,61,102.01147838636544,False,False,False,True,False,False,False,False,
Stefaan,00611.mp4,near-miss,Straight at intersection,Other vehicle on the adjacent lane,126,117,90,85,70,75.96375653207353,False,False,True,False,False,False,False,False,
Stefaan,00613.mp4,near-miss,Driving in Lane,PV cut-in,93,148,90,126,66,133.36342295838327,False,False,False,False,False,False,False,True,
Stefaan,00614.mp4,near-miss,Straight at intersection,Other vehicle on the adjacent lane,91,149,90,123,89,126.15818543980834,False,True,False,False,False,False,False,False,
Stefaan,00617.mp4,near-miss,Driving in Lane,PV cut-in,104,141,90,85,59,70.86635679409451,False,False,False,True,False,False,False,False,
Stefaan,00618.mp4,near-miss,Driving in Lane,PV cut-in,119,128,90,91,49,90,False,False,False,True,True,False,False,False,
Stefaan,00621.mp4,near-miss,Driving in Lane,PV stopped,86,150,90,85,70,90,False,False,False,False,False,False,False,True,
Stefaan,00622.mp4,near-miss,Driving in Lane,PV braking / slower,87,149,90,85,70,90,False,False,False,False,False,False,False,True,
Stefaan,00623.mp4,near-miss,Turning at intersection,Other vehicle on the adjacent lane,137,88,90,87,53,77.34744349944204,False,False,False,False,False,False,False,True,
Stefaan,00624.mp4,near-miss,Straight at intersection,Other vehicle approaching from side,111,131,90,161,67,181.70981404414152,False,False,False,True,False,False,False,False,
Stefaan,00625.mp4,near-miss,Driving in Lane,Other,109,142,90,149,74,90,False,False,False,False,False,False,False,True,door open
Stefaan,00626.mp4,near-miss,Leaving Lane,PV @ target lane,56,116,343.17859010995915,176,116,191.72511201516508,True,False,False,False,False,False,False,False,
Stefaan,00627.mp4,near-miss,Driving in Lane,PV cut-in,100,132,90,143,76,111.37062226934319,False,False,False,False,False,False,False,True,
Stefaan,00629.mp4,near-miss,Turning at intersection,Other vehicle approaching from front / opposite,138,158,133.09084756700364,86,51,270.0,False,False,False,True,False,False,False,False,
Stefaan,00630.mp4,near-miss,Turning at intersection,Other vehicle on the adjacent lane,148,131,115.40771810894849,101,57,128.6598082540901,False,False,False,False,False,False,False,True,aggressive driving
Stefaan,00633.mp4,near-miss,Driving in Lane,PV cut-in,112,157,90,78,87,29.054604099077146,False,False,True,True,False,False,False,False,
Stefaan,00634.mp4,near-miss,Straight at intersection,Other vehicle approaching from side,96,152,90,124,67,178.80651057601798,False,False,True,True,False,False,False,False,red light ignored
Stefaan,00635.mp4,near-miss,Leaving Lane,SV @ target lane,114,74,145.61965527615513,73,145,90,True,False,False,False,False,False,False,False,U-turn
Stefaan,00636.mp4,near-miss,Driving in Lane,PV stopped,88,149,90,85,70,90,False,False,False,True,False,False,False,False,
Stefaan,00637.mp4,near-miss,Driving in Lane,PV cut-in,84,158,90,132,105,105.1540680503126,False,False,True,False,False,False,False,False,
Stefaan,00638.mp4,near-miss,Other,Add Comment,106,152,33.340707346477004,123,50,280.00797980144137,False,False,False,False,False,False,False,True,leaving parking
Stefaan,00639.mp4,near-miss,Driving in Lane,PV braking / slower,85,155,90,85,70,90,False,False,False,False,False,False,False,True,
Stefaan,00640.mp4,near-miss,Driving in Lane,PV cut-in,79,157,90,114,86,108.43494882292202,False,False,False,False,False,False,False,True,
Stefaan,00641.mp4,near-miss,Driving in Lane,PV stopped,86,153,90,85,70,90,False,False,False,False,False,False,False,True,
Stefaan,00642.mp4,near-miss,Turning at intersection,PV Slower / Braking / Stopped,86,144,79.38034472384487,130,58,49.28915332881902,False,False,False,False,False,False,True,False,
Stefaan,00643.mp4,near-miss,Leaving Lane,PV @ target lane,115,158,105.94539590092286,97,68,62.10272896905237,False,False,False,True,False,False,False,False,
Stefaan,00644.mp4,near-miss,Driving in Lane,PV cut-in,138,144,90,99,87,74.21924669048461,False,False,False,False,False,False,False,True,
Stefaan,00645.mp4,near-miss,Driving in Lane,PV cut-out,105,152,90,129,66,73.30075576600639,False,False,True,False,False,False,False,False,
Stefaan,00647.mp4,near-miss,Driving in Lane,PV cut-in,92,152,90,153,96,143.13010235415598,False,False,False,True,False,False,False,False,
Stefaan,00648.mp4,near-miss,Driving in Lane,PV cut-in,101,150,90,151,85,150.64224645720873,False,False,False,True,False,False,False,False,
Stefaan,00650.mp4,near-miss,Driving in Lane,PV stopped,86,153,90,85,70,90,False,False,False,True,False,False,False,False,
Stefaan,00651.mp4,near-miss,Driving in Lane,PV braking / slower,82,157,90,85,70,90,False,False,False,True,False,False,False,False,
Stefaan,00652.mp4,near-miss,Driving in Lane,PV cut-in,83,142,90,116,62,93.01278750418334,False,False,False,True,False,False,False,False,
Stefaan,00653.mp4,near-miss,Driving in Lane,PV cut-in,94,113,80.7273982227997,144,101,104.74356283647074,False,False,False,False,False,False,False,True,
Stefaan,00655.mp4,near-miss,Turning at intersection,Other vehicle approaching from side,138,140,90,104,67,358.89829388479365,False,False,False,False,False,False,False,True,red light
Stefaan,00656.mp4,near-miss,Driving in Lane,PV cut-in,138,127,90,94,83,74.74488129694222,False,False,False,True,False,False,False,False,
Stefaan,00657.mp4,near-miss,Straight at intersection,Other vehicle approaching from front / opposite,134,158,90,92,77,332.35402463626133,False,False,False,False,False,False,False,True,
Stefaan,00658.mp4,near-miss,Driving in Lane,PV cut-in,71,113,90,112,56,103.09189306434685,False,False,False,False,False,False,False,True,
Stefaan,00659.mp4,near-miss,Driving in Lane,Oncoming vehicle,71,144,90,110,81,171.52885536698517,False,False,False,False,False,False,False,True,parking approach from right
