Annotator,Video Name,Category,Scenario Level 1,Scenario Level 2,Ego_X,Ego_Y,Ego_Angle,Other_X,Other_Y,Other_Angle,Target not visible,Ego Emergency Maneuver Required,Unexpected Maneuver,Night or Low Light,Rain/Snow/Fog,Cyclist/Scooter Involved,Pedestrian Involved,Nothing Special Observed,Comment
Stijn,00521.mp4,near-miss,Turning at intersection,PV Slower / Braking / Stopped,78,130,79.91940201245768,114,59,48.71528910542877,False,False,False,True,False,False,True,False,
Stijn,00522.mp4,accident,Driving in Lane,PV cut-in,45,127,90,85,99,103.76078511179124,False,False,False,True,False,False,False,False,
Stijn,00523.mp4,accident,Driving in Lane,PV cut-in,48,124,90,89,93,100.40771131249006,False,False,False,False,False,False,False,True,
Stijn,00526.mp4,accident,Turning at intersection,Other vehicle approaching from front / opposite,92,126,180.0,85,70,268.9190758133393,False,False,False,False,False,False,False,True,
Stijn,00527.mp4,accident,Driving in Lane,PV stopped,80,143,90,85,70,90,False,False,False,False,False,False,False,True,
Stijn,00528.mp4,accident,Driving in Lane,PV stopped,98,148,82.50414236027014,85,70,90,False,False,False,False,False,False,False,True,
Stijn,00529.mp4,accident,Driving in Lane,PV cut-in,136,157,90,106,81,90,False,False,False,False,False,False,False,True,
Stijn,00530.mp4,accident,Driving in Lane,PV cut-in,134,101,90,95,76,82.23483398157467,False,False,False,False,False,False,False,True,
Stijn,00533.mp4,near-miss,Leaving Lane,PV @ target lane,121,153,90,97,72,90,False,False,False,True,False,False,False,False,
Stijn,00534.mp4,accident,Driving in Lane,PV stopped,89,156,90,85,70,90,False,False,False,True,False,False,False,False,
Stijn,00537.mp4,accident,Straight at intersection,Other vehicle approaching from side,95,160,90,99,96,180.0,False,False,False,False,False,False,False,True,
Stijn,00538.mp4,accident,Driving in Lane,Other,88,168,90,103,88,109.74683660542613,False,False,False,False,False,False,False,True,"PV reversing to park parallel, then stopped before impact"
Stijn,00539.mp4,accident,Straight at intersection,Other vehicle on the adjacent lane,86,157,90,99,77,109.74683660542613,False,False,False,False,False,False,False,True,
Stijn,00540.mp4,accident,Straight at intersection,Other vehicle approaching from side,86,160,90,121,92,202.83365417791754,False,False,False,True,False,False,False,False,
Stijn,00541.mp4,accident,Turning at intersection,Other vehicle approaching from side,83,159,90,132,107,181.8476102659946,False,False,False,False,False,False,False,True,
Stijn,00542.mp4,accident,Straight at intersection,Other vehicle approaching from side,123,162,90,83,106,0.0,False,False,False,True,False,False,False,False,Parking lot intersection
Stijn,00543.mp4,accident,Driving in Lane,PV stopped,87,155,90,85,70,90,False,False,False,True,False,False,False,False,
Stijn,00544.mp4,accident,Driving in Lane,PV stopped,88,161,90,85,70,90,False,False,False,False,False,False,False,True,slow speed impact
Stijn,00546.mp4,accident,Driving in Lane,Other,83,160,90,123,127,90,False,False,False,True,False,False,False,False,Ego vehicle hit parked car driver door when opened
Stijn,00547.mp4,accident,Driving in Lane,PV stopped,85,154,90,85,70,90,False,False,False,False,False,False,False,True,low speed impact
Stijn,00549.mp4,accident,Straight at intersection,Other vehicle approaching from side,139,155,90,101,83,327.38075692880716,False,False,False,False,False,False,False,True,Ego vehicle hidden from sight of Target vehicle
Stijn,00550.mp4,accident,Driving in Lane,PV stopped,84,152,90,85,70,90,False,False,False,False,False,False,False,True,
Stijn,00551.mp4,accident,Turning at intersection,Other vehicle approaching from front / opposite,117,153,149.34933204294714,85,70,273.01278750418334,False,False,False,False,False,False,False,True,
Stijn,00553.mp4,accident,Straight at intersection,Other vehicle approaching from front / opposite,112,165,90,72,89,307.11686068327026,False,False,False,True,False,False,False,False,
Stijn,00554.mp4,accident,Driving in Lane,PV braking / slower,69,146,90,85,70,90,False,False,False,False,False,False,False,True,slow speed impact
Stijn,00556.mp4,near-miss,Straight at intersection,Other vehicle approaching from side,85,160,90,107,99,140.06361685303008,False,False,False,False,False,False,False,True,
Stijn,00557.mp4,near-miss,Driving in Lane,PV cut-in,124,148,90,84,87,68.19859051364818,False,False,False,True,False,False,False,False,
Stijn,00558.mp4,near-miss,Straight at intersection,Other vehicle approaching from side,84,152,90,130,109,145.30484646876604,False,False,False,True,True,False,False,False,
Stijn,00560.mp4,near-miss,Driving in Lane,PV cut-in,47,125,90,84,78,117.09555249375181,True,False,False,False,False,False,False,False,
Stijn,00562.mp4,near-miss,Driving in Lane,PV cut-in,125,137,90,87,89,66.61477894278624,False,False,False,False,False,False,False,True,
Stijn,00563.mp4,near-miss,Driving in Lane,Other,47,96,90,85,70,90,False,False,False,True,False,False,False,False,parked vehicle adjacent lane driver opens door
Stijn,00564.mp4,near-miss,Driving in Lane,PV stopped,84,151,90,85,70,90,False,False,False,False,False,False,False,True,driver ego vehicle almost rear end PV at parking speed
Stijn,00565.mp4,near-miss,Driving in Lane,PV cut-in,123,142,90,92,85,67.83365417791754,False,False,False,True,False,False,False,False,
Stijn,00566.mp4,near-miss,Turning at intersection,Other,43,116,90,85,70,111.25050550713325,False,False,False,False,False,False,False,True,SV cur in lane after both vehicles turn at intersection
Stijn,00567.mp4,near-miss,Driving in Lane,PV cut-in,165,120,90,126,72,84.55966796899449,False,False,False,True,False,False,False,False,attempted cut-in
Stijn,00568.mp4,near-miss,Leaving Lane,SV @ target lane,50,130,101.53462065364472,85,70,113.83874018317172,False,False,False,False,False,False,False,True,
Stijn,00570.mp4,near-miss,Driving in Lane,PV cut-in,138,133,90,97,81,72.80145877993414,False,False,False,True,False,False,False,False,
Stijn,00571.mp4,near-miss,Leaving Lane,PV @ target lane,60,145,77.7352262721076,85,70,90,False,False,False,False,False,False,False,True,
Stijn,00573.mp4,near-miss,Driving in Lane,PV cut-in,49,149,90,85,70,90,False,False,False,False,True,False,False,False,"assumption: not clear due to blurred area, actual incident not visible"
Stijn,00574.mp4,near-miss,Driving in Lane,PV cut-in,47,138,90,85,70,90,False,False,False,False,False,False,False,True,
Stijn,00577.mp4,near-miss,Driving in Lane,PV cut-in,46,140,90,87,100,109.5731258304102,False,False,False,False,False,False,False,True,
Stijn,00579.mp4,near-miss,Driving in Lane,PV cut-in,43,143,90,73,81,164.35775354279127,False,False,False,False,False,False,False,True,attempted U-turn of PV
Stijn,00580.mp4,near-miss,Driving in Lane,Oncoming vehicle,105,165,90,68,95,357.7974018382342,False,False,False,True,False,False,False,False,u-turn of oncoming vehicle (slow speed)
Stijn,00581.mp4,near-miss,Driving in Lane,PV cut-in,108,167,90,73,114,69.62356478616361,False,False,False,True,False,False,False,False,
Stijn,00583.mp4,near-miss,Driving in Lane,PV braking / slower,87,151,90,85,70,90,False,False,False,True,False,False,False,False,
Stijn,00584.mp4,near-miss,Leaving Lane,PV @ target lane,115,156,74.40718906073366,93,94,52.59464336859145,False,False,False,False,False,False,False,True,"both vehicles attempt lane change, Ego wants to overtake PV"
Stijn,00585.mp4,near-miss,Driving in Lane,PV cut-in,114,159,90,76,109,78.17851165939275,False,False,False,False,False,False,False,True,
Stijn,00586.mp4,near-miss,Driving in Lane,PV stopped,87,153,90,85,70,90,False,False,False,True,True,False,False,False,
Stijn,00587.mp4,near-miss,Driving in Lane,PV cut-in,123,96,90,85,70,82.61395684873273,False,False,False,False,False,False,False,True,
Stijn,00588.mp4,near-miss,Driving in Lane,PV cut-in,42,127,90,85,70,109.35899417569473,False,False,False,True,False,False,False,False,
Stijn,00589.mp4,near-miss,Driving in Lane,PV braking / slower,86,148,90,85,70,90,False,False,False,False,False,False,False,True,
Stijn,00590.mp4,near-miss,Driving in Lane,PV braking / slower,85,155,90,85,70,90,False,False,False,True,False,False,False,False,
Stijn,00591.mp4,near-miss,Leaving Lane,PV @ target lane,109,147,70.14478563067895,85,70,67.61986494804043,False,False,False,False,False,False,False,True,
Stijn,00592.mp4,near-miss,Leaving Lane,SV @ target lane,102,150,90,145,118,115.46334506187162,False,False,False,True,False,False,False,False,
Stijn,00593.mp4,near-miss,Driving in Lane,PV cut-out,84,155,90,124,81,54.86580694308437,False,False,False,False,False,False,False,True,"partial cut-out, PV brake and stop"
Stijn,00594.mp4,near-miss,Driving in Lane,PV stopped,86,161,90,85,70,90,False,False,False,True,False,False,False,False,
Stijn,00596.mp4,near-miss,Driving in Lane,PV cut-in,82,154,90,120,95,104.32271997820357,False,False,False,False,False,False,False,True,
Stijn,00597.mp4,near-miss,Other,Add Comment,86,173,90,85,70,90,False,False,False,False,False,False,False,True,Impossible to judge due to incident occur in blurred area
Stijn,00598.mp4,near-miss,Leaving Lane,SV @ target lane,90,176,90,124,119,110.72555886556054,False,False,False,False,False,False,False,True,
