Annotator,Video Name,Category,Scenario Level 1,Scenario Level 2,Ego_X,Ego_Y,Ego_Angle,Other_X,Other_Y,Other_Angle,Target not visible,Ego Emergency Maneuver Required,Unexpected Maneuver,Night or Low Light,Rain/Snow/Fog,Cyclist/Scooter Involved,Pedestrian Involved,Nothing Special Observed,Comment
Tom Aerden,00771.mp4,near-miss,Turning at intersection,PV Slower / Braking / Stopped,129,136,90,96,61,112.01128319791937,False,False,False,False,False,False,False,True,
Tom Aerden,00773.mp4,near-miss,Driving in Lane,PV cut-in,107,159,90,127,74,99.27260177720031,False,False,False,True,False,False,False,False,
Tom Aerden,00774.mp4,near-miss,Turning at intersection,Other vehicle approaching from front / opposite,108,161,90,74,60,325.304846468766,False,False,True,False,False,False,False,False,
Tom Aerden,00776.mp4,near-miss,Driving in Lane,PV cut-in,114,152,90,151,90,100.30484646876603,False,False,False,True,False,False,False,False,
Tom Aerden,00777.mp4,near-miss,Driving in Lane,PV braking / slower,84,162,90,85,70,90,False,False,False,True,False,False,False,False,
Tom Aerden,00780.mp4,near-miss,Driving in Lane,PV cut-in,116,164,90,154,99,123.36636600105957,False,False,False,True,False,False,False,False,
Tom Aerden,00782.mp4,near-miss,Turning at intersection,PV Slower / Braking / Stopped,86,161,90,85,70,90,False,False,False,False,False,False,False,True,nothing special
Tom Aerden,00783.mp4,near-miss,Straight at intersection,Other vehicle approaching from front / opposite,125,154,90,131,84,352.5685920288275,False,False,False,True,False,False,False,False,
Tom Aerden,00784.mp4,near-miss,Driving in Lane,PV braking / slower,87,158,90,85,70,90,False,False,False,False,False,False,False,True,nothing special
Tom Aerden,00785.mp4,near-miss,Turning at intersection,Other vehicle approaching from side,114,158,90,135,87,0.0,False,False,False,False,False,False,False,True,nothing special
Tom Aerden,00787.mp4,near-miss,Straight at intersection,PV Slower / Braking / Stopped,85,155,90,85,70,90,False,False,False,False,False,False,False,True,nothing special
Tom Aerden,00788.mp4,near-miss,Driving in Lane,Other,116,158,90,83,77,339.77514056883194,False,False,True,False,False,False,False,False,vehicle coming from driveway
Tom Aerden,00789.mp4,near-miss,Driving in Lane,Other,113,165,90,85,70,328.4652080948117,False,False,True,False,False,False,False,False,vehicle coming from driveway same event
Tom Aerden,00791.mp4,near-miss,Turning at intersection,PV Slower / Braking / Stopped,99,153,82.23483398157467,85,70,90,False,False,False,True,False,False,False,False,
Tom Aerden,00792.mp4,near-miss,Driving in Lane,PV braking / slower,91,156,90,85,70,90,False,False,False,False,False,False,False,True,nothing special
Tom Aerden,00793.mp4,near-miss,Driving in Lane,PV stopped,71,156,96.9810574068298,85,70,90,False,False,False,True,False,False,False,False,
Tom Aerden,00794.mp4,near-miss,Driving in Lane,PV cut-in,87,161,90,58,82,81.67434966957316,False,False,False,False,False,False,False,True,
Tom Aerden,00795.mp4,near-miss,Driving in Lane,PV stopped,90,161,90,85,70,90,False,False,False,False,False,False,False,True,
Tom Aerden,00798.mp4,near-miss,Straight at intersection,Other vehicle on the adjacent lane,89,151,90,130,97,114.44395478041653,False,False,False,True,True,False,False,False,
Tom Aerden,00802.mp4,near-miss,Straight at intersection,Other vehicle approaching from side,160,139,73.4126614430726,114,81,181.00508600525419,False,False,False,True,False,False,False,False,
Tom Aerden,00803.mp4,near-miss,Turning at intersection,PV Slower / Braking / Stopped,103,148,90,85,70,90,False,False,False,False,False,False,False,True,
Tom Aerden,00805.mp4,near-miss,Driving in Lane,PV braking / slower,109,153,72.80145877993414,85,70,90,False,False,False,True,False,False,False,False,
Tom Aerden,00809.mp4,near-miss,Driving in Lane,PV cut-in,109,155,90,85,70,90,False,False,False,True,False,False,False,False,
Tom Aerden,00810.mp4,near-miss,Driving in Lane,PV cut-in,86,133,90,124,99,90,False,False,False,True,True,False,False,False,
Tom Aerden,00813.mp4,near-miss,Driving in Lane,PV cut-in,101,127,90,134,66,123.3885135761115,False,False,False,True,False,False,False,False,
Tom Aerden,00816.mp4,near-miss,Driving in Lane,Oncoming vehicle,106,134,89.30130561701652,102,38,321.9529574681739,False,True,False,True,False,False,False,False,
Tom Aerden,00817.mp4,near-miss,Driving in Lane,PV braking / slower,104,159,90,85,70,90,False,False,False,False,False,False,False,True,
Tom Aerden,00818.mp4,accident,Straight at intersection,Other vehicle on the adjacent lane,111,141,90,77,104,79.2157021324374,False,False,False,True,False,False,False,False,
Tom Aerden,00819.mp4,near-miss,Driving in Lane,PV stopped,86,152,90,85,70,90,False,False,False,False,False,False,False,True,
Tom Aerden,00820.mp4,near-miss,Driving in Lane,PV stopped,89,159,90,85,70,90,False,False,False,False,False,False,False,True,
Tom Aerden,00822.mp4,near-miss,Straight at intersection,PV Slower / Braking / Stopped,86,159,90,85,70,90,False,False,False,False,False,False,False,True,
Tom Aerden,00823.mp4,near-miss,Driving in Lane,Oncoming vehicle,111,150,90,160,110,325.37584492005107,False,False,False,True,False,False,False,False,
Tom Aerden,00824.mp4,near-miss,Driving in Lane,PV stopped,86,154,90,85,70,90,False,False,False,True,False,False,False,False,
Tom Aerden,00825.mp4,near-miss,Turning at intersection,Other vehicle approaching from side,109,135,90,85,70,357.3974377975002,False,False,False,False,False,False,False,True,
Tom Aerden,00827.mp4,near-miss,Other,Add Comment,63,157,90,63,69,222.58049078334366,False,False,False,False,False,False,False,True,parking
Tom Aerden,00828.mp4,near-miss,Driving in Lane,PV cut-in,118,149,90,85,70,79.69515353123397,False,False,False,False,False,False,False,True,
Tom Aerden,00830.mp4,near-miss,Driving in Lane,PV cut-in,45,104,90,85,70,90,False,False,False,False,False,False,False,True,
Tom Aerden,00831.mp4,near-miss,Driving in Lane,PV cut-in,122,140,90,85,70,70.76932762433871,False,False,False,False,False,False,False,True,
Tom Aerden,00832.mp4,near-miss,Driving in Lane,PV cut-in,43,101,90,85,70,106.7983717813053,False,True,False,False,False,False,False,False,
Tom Aerden,00833.mp4,near-miss,Other,Add Comment,165,120,90,85,70,90,False,False,False,False,False,False,False,True,video not visible
Tom Aerden,00834.mp4,near-miss,Driving in Lane,PV stopped,87,161,90,85,70,90,False,False,False,False,False,False,False,True,
Tom Aerden,00835.mp4,near-miss,Driving in Lane,PV cut-in,92,130,88.69804732742112,46,62,348.11134196037204,False,True,False,False,False,False,False,False,
