Annotator,Video Name,Category,Scenario Level 1,Scenario Level 2,Ego_X,Ego_Y,Ego_Angle,Other_X,Other_Y,Other_Angle,Target not visible,Ego Emergency Maneuver Required,Unexpected Maneuver,Night or Low Light,Rain/Snow/Fog,Cyclist/Scooter Involved,Pedestrian Involved,Nothing Special Observed,Comment
Tom Roggeman,00771.mp4,near-miss,Turning at intersection,PV Slower / Braking / Stopped,146,135,110.2825590889166,85,70,140.71059313749967,False,True,False,False,False,False,False,False,
Tom Roggeman,00773.mp4,near-miss,Driving in Lane,PV cut-in,165,120,164.20759647114272,85,70,194.74356283647072,False,True,True,True,False,False,False,False,
Tom Roggeman,00774.mp4,near-miss,Turning at intersection,Other vehicle approaching from front / opposite,165,120,128.6598082540901,85,70,326.30993247402023,False,True,True,False,False,False,False,False,target illegal u-turn
Tom Roggeman,00776.mp4,near-miss,Driving in Lane,PV cut-in,165,120,159.77514056883192,85,70,177.31622484053102,False,True,False,True,False,False,False,False,
Tom Roggeman,00777.mp4,accident,Driving in Lane,PV braking / slower,165,120,90,85,70,90,False,True,False,True,False,False,False,False,Late brake from ego
TOM ROGGEMAN,00780.mp4,near-miss,Driving in Lane,PV cut-in,79,142,90.0,99,58,112.01128319791937,False,False,True,True,False,False,False,False,Police acting strange
TOM ROGGEMAN,00782.mp4,near-miss,Turning at intersection,PV Slower / Braking / Stopped,85,165,90,85,70,90,False,False,True,False,False,False,False,False,
TOM ROGGEMAN,00783.mp4,near-miss,Straight at intersection,Other vehicle approaching from side,87,125,90,106,42,352.05652818940956,False,True,True,False,False,False,False,False,"blinded by sun, still accelerating"
TOM ROGGEMAN,00784.mp4,near-miss,Driving in Lane,PV braking / slower,165,120,90,85,70,90,False,True,False,False,False,False,False,False,ego driver distracted
TOM ROGGEMAN,00785.mp4,near-miss,Turning at intersection,Other vehicle approaching from side,83,141,104.93141717813755,71,66,358.89829388479365,False,True,False,False,False,False,False,False,ego ignoring stop
TOM ROGGEMAN,00787.mp4,near-miss,Straight at intersection,PV Slower / Braking / Stopped,87,167,90,85,70,90,False,False,True,False,False,False,False,False,target left turn where not allowed
TOM ROGGEMAN,00788.mp4,near-miss,Driving in Lane,Oncoming vehicle,114,160,90,66,91,354.4278021960362,False,False,True,False,False,False,False,False,"target crossing road, ego very slow reaction"
TOM ROGGEMAN,00789.mp4,near-miss,Driving in Lane,Oncoming vehicle,122,143,90,85,70,352.14668669802177,False,False,True,False,False,False,False,False,"target crossing road, ego very slow reaction"
TOM ROGGEMAN,00791.mp4,near-miss,Turning at intersection,PV Slower / Braking / Stopped,95,152,79.46081627137177,85,70,95.1944289077348,False,True,False,False,False,False,False,False,"target so slow light turns red, ego not paying attention"
TOM ROGGEMAN,00792.mp4,near-miss,Driving in Lane,PV braking / slower,89,169,87.39743779750019,94,76,83.01894259317021,False,False,False,False,False,False,False,True,"ego not paying attention, late brake"
TOM ROGGEMAN,00793.mp4,near-miss,Driving in Lane,PV stopped,80,151,92.48955292199916,85,70,90,False,True,False,False,False,False,False,False,"ego not paying attention, late brake"
TOM ROGGEMAN,00794.mp4,near-miss,Other,Add Comment,140,171,90,104,108,81.67434966957316,False,False,False,False,False,False,False,True,"ego driving on shoulder, target also crossing in onto shoulder => road rage"
tom roggeman,00798.mp4,near-miss,Straight at intersection,Other vehicle approaching from side,89,153,90,108,82,155.6589100633075,False,True,False,True,True,False,False,False,"ego going straight on turning lane, target on the right turning left as required"
tom roggeman,00802.mp4,near-miss,Straight at intersection,Other vehicle approaching from side,129,111,68.36911316348207,113,43,182.86240522611175,False,True,False,True,False,False,False,False,late reaction from ego
tom roggeman,00803.mp4,near-miss,Turning at intersection,PV Slower / Braking / Stopped,129,144,90,85,70,131.92254460057563,False,True,False,False,False,False,False,False,late reaction from ego
tom roggeman,00804.mp4,near-miss,Driving in Lane,PV cut-in,122,134,90,85,70,71.56505117707799,False,True,True,True,False,False,False,False,
tom roggeman,00805.mp4,near-miss,Driving in Lane,PV cut-out,112,152,81.15818543980832,85,70,112.71441235316725,False,True,False,True,False,False,False,False,No/late reaction ego
tom roggeman,00809.mp4,near-miss,Driving in Lane,PV cut-in,86,154,90,85,70,81.2538377374448,False,False,False,True,False,False,False,False,target cut back in after cut out
tom roggeman,00810.mp4,near-miss,Driving in Lane,PV cut-in,88,135,90,137,132,101.07020257793937,False,False,True,True,True,False,False,False,
tom roggeman,00813.mp4,near-miss,Driving in Lane,PV cut-in,95,168,90,113,52,118.7059525434011,False,True,False,True,False,False,False,False,ego refuse to slow down => near miss
tom roggeman,00816.mp4,near-miss,Driving in Lane,Oncoming vehicle,85,171,90,85,70,300.80144597613685,False,True,True,True,False,False,False,False,Target randomly cuts across double yellow almost head on
tom roggeman,00817.mp4,near-miss,Driving in Lane,PV stopped,117,147,68.70264595096624,88,65,90,False,True,True,False,False,False,False,False,target has no brake lights (trailer)
tom roggeman,00818.mp4,accident,Straight at intersection,Other vehicle approaching from side,125,144,90,92,98,72.03086025984298,False,False,False,True,False,False,False,False,Ego departs whilst being overtaken
tom roggeman,00819.mp4,near-miss,Leaving Lane,PV @ target lane,110,162,107.28149837181665,85,70,90,False,True,False,False,False,False,False,False,"Ego not payoing attention, late brake"
tom roggeman,00820.mp4,near-miss,Driving in Lane,PV braking / slower,87,170,90,85,70,90,False,True,False,False,False,False,False,False,"ego not paying attention, late brake"
tom roggeman,00822.mp4,near-miss,Driving in Lane,PV stopped,85,151,90,85,70,90,False,False,False,False,False,False,False,True,ego tailgating to avoid cut in
tom roggeman,00823.mp4,near-miss,Driving in Lane,Oncoming vehicle,62,154,90,85,70,349.1144729453413,False,False,False,True,False,False,False,False,"vehicle crossing, ego refuse to brake"
tom roggeman,00824.mp4,near-miss,Driving in Lane,PV braking / slower,88,174,90,85,70,90,False,False,False,False,False,False,False,True,close folowing
tom roggeman,00825.mp4,near-miss,Turning at intersection,Other vehicle approaching from side,103,141,118.36904629327857,85,70,0.0,False,True,False,True,False,False,False,False,"ego late brake, target ignores stop"
tom roggeman,00827.mp4,near-miss,Other,Add Comment,129,134,137.81555668421123,98,40,256.50426671920417,False,True,False,False,False,False,False,False,ego turning into parking spot ignoring oncoming vehicle
tom roggeman,00828.mp4,near-miss,Driving in Lane,PV cut-in,135,163,90,93,114,77.47119229084849,False,True,False,False,False,False,False,False,
tom roggeman,00830.mp4,near-miss,Driving in Lane,PV cut-in,88,131,90,131,101,108.79988515865266,False,True,False,False,False,False,False,False,truck on rh tries to ram ego
tom roggeman,00831.mp4,near-miss,Driving in Lane,PV cut-in,109,142,90,85,70,51.927218126009166,False,True,False,False,False,False,False,False,
tom roggeman,00832.mp4,near-miss,Driving in Lane,PV cut-in,86,148,90,103,63,120.06858282186246,False,True,False,False,False,False,False,False,
tom roggeman,00833.mp4,near-miss,Other,Add Comment,165,120,90,85,70,90,False,False,False,False,False,False,False,True,don't see anything
tom roggeman,00834.mp4,near-miss,Driving in Lane,PV stopped,115,143,90,114,52,90,False,True,False,False,False,False,False,False,ego creeping forward (not looking at rioad)
tom roggeman,00835.mp4,near-miss,Driving in Lane,Oncoming vehicle,112,163,84.8055710922652,79,85,332.87869659584135,False,True,True,True,False,False,False,False,oncoming car cut in over double yellow
tom roggeman,00836.mp4,near-miss,Driving in Lane,PV cut-in,90,155,90,128,78,111.5713071912546,False,True,True,False,False,False,False,False,Target cut in lane to avoid obstacle
tom roggeman,00838.mp4,near-miss,Driving in Lane,PV stopped,90,159,90,85,70,90,False,False,False,True,False,False,False,False,"ego late brake, not paying attention"
tom roggeman,00839.mp4,near-miss,Leaving Lane,PV @ target lane,56,134,90,89,61,124.07719528013074,False,True,False,False,False,False,False,False,ego overtaking manoevring vehicle
tom roggeman,00840.mp4,near-miss,Driving in Lane,PV cut-in,102,156,90,57,108,65.22485943116808,False,True,True,True,False,False,False,False,
tom roggeman,00841.mp4,near-miss,Driving in Lane,PV cut-in,87,168,90,126,126,99.65989307844234,False,True,False,False,False,False,False,False,
tom roggeman,00842.mp4,near-miss,Driving in Lane,PV cut-in,86,160,90,111,93,119.57783868126134,False,True,True,True,False,False,False,False,
tom roggeman,00843.mp4,near-miss,Leaving Lane,PV @ target lane,130,140,124.77783136636387,85,70,90,False,True,False,False,False,False,False,False,ego not paying attention
tom roggeman,00845.mp4,accident,Driving in Lane,PV cut-in,91,157,90,131,104,129.64417495714483,False,True,False,False,False,False,False,False,"Target cut ego off to turn, ego refuse to brake"
tom roggeman,00846.mp4,near-miss,Driving in Lane,PV cut-in,111,145,130.3141001604973,100,79,149.2372804657611,False,True,True,False,False,False,False,False,
tom roggeman,00847.mp4,near-miss,Driving in Lane,PV braking / slower,97,163,90,85,70,90,False,True,False,False,False,False,False,False,ego tailgating
tom roggeman,00849.mp4,near-miss,Straight at intersection,Other vehicle approaching from side,84,159,90,118,80,178.69804732742114,False,False,False,False,False,False,False,True,ego yielded late
tom roggeman,00850.mp4,near-miss,Driving in Lane,Other,57,140,90,96,66,5.194428907734806,False,False,False,False,False,False,False,True,reversing vehicle out of parking spot
tom roggeman,00851.mp4,near-miss,Driving in Lane,PV cut-in,90,160,90,130,110,117.21611155730749,False,True,True,False,False,False,False,False,"road rage, target cuts in from shoulder trying to brake check ego"
tom roggeman,00854.mp4,near-miss,Driving in Lane,PV cut-in,133,146,90,89,80,81.46923439005187,False,False,False,False,False,False,False,True,
tom roggeman,00856.mp4,near-miss,Driving in Lane,PV cut-in,88,156,90,123,99,124.07719528013074,False,False,False,False,False,False,False,True,
tom roggeman,00857.mp4,near-miss,Driving in Lane,PV cut-in,102,146,110.2825590889166,123,86,157.75097634278765,False,False,False,False,False,False,False,True,"ego refuses to brake, late avoidance"
tom roggeman,00858.mp4,near-miss,Driving in Lane,PV braking / slower,88,160,90,85,70,90,False,True,False,False,False,False,False,False,ego late brake
tom roggeman,00859.mp4,near-miss,Driving in Lane,PV cut-in,68,149,90,85,70,128.8298249049704,False,False,True,False,False,False,False,False,
tom roggeman,00860.mp4,near-miss,Leaving Lane,Other,108,144,58.781597235653635,85,70,90,False,True,False,True,False,False,False,False,ego not watching road
tom roggeman,00861.mp4,near-miss,Driving in Lane,PV cut-in,96,111,90,132,43,146.30993247402023,False,False,True,False,False,False,False,False,
tom roggeman,00863.mp4,near-miss,Driving in Lane,PV cut-in,156,86,89.3414568224364,85,70,41.32550047917034,False,False,True,False,False,False,False,False,
tom roggeman,00864.mp4,near-miss,Leaving Lane,Other,124,115,107.10272896905236,160,42,187.48088617952368,False,False,False,False,False,False,False,True,"ego no brake, avoidance over double yellow"
