Video Name,L1_R1,L1_R2,L1_Match,L2_R1,L2_R2,L2_Match
00003.mp4,Driving in Lane,Straight at intersection,False,PV braking / slower,PV Slower / Braking / Stopped,False
00005.mp4,Leaving Lane,Leaving Lane,True,PV @ target lane,SV @ target lane,False
00006.mp4,Driving in Lane,Driving in Lane,True,PV braking / slower,PV stopped,False
00013.mp4,Driving in Lane,Driving in Lane,True,PV cut-in,Oncoming vehicle,False
00014.mp4,Turning at intersection,Leaving Lane,False,Other vehicle approaching from front / opposite,SV @ target lane,False
00015.mp4,Driving in Lane,Driving in Lane,True,PV braking / slower,PV stopped,False
00016.mp4,Other,Driving in Lane,False,Add Comment,Other,False
00018.mp4,Driving in Lane,Driving in Lane,True,PV cut-in,Oncoming vehicle,False
00019.mp4,Straight at intersection,Driving in Lane,False,Other vehicle approaching from side,Oncoming vehicle,False
00023.mp4,Other,Turning at intersection,False,Add Comment,Other vehicle approaching from side,False
00026.mp4,Other,Driving in Lane,False,Add Comment,Other,False
00027.mp4,Driving in Lane,Driving in Lane,True,PV stopped,PV braking / slower,False
00029.mp4,Driving in Lane,Driving in Lane,True,PV cut-in,PV cut-out,False
00036.mp4,Driving in Lane,Driving in Lane,True,PV cut-in,Oncoming vehicle,False
00037.mp4,Straight at intersection,Driving in Lane,False,Other vehicle approaching from front / opposite,Oncoming vehicle,False
00039.mp4,Driving in Lane,Driving in Lane,True,PV stopped,PV braking / slower,False
00041.mp4,Driving in Lane,Driving in Lane,True,Other,Oncoming vehicle,False
00042.mp4,Turning at intersection,Straight at intersection,False,Other,Other vehicle approaching from side,False
00046.mp4,Driving in Lane,Driving in Lane,True,Other,PV stopped,False
00047.mp4,Driving in Lane,Driving in Lane,True,PV cut-in,Oncoming vehicle,False
00048.mp4,Leaving Lane,Leaving Lane,True,RV @ target lane,PV @ target lane,False
00049.mp4,Leaving Lane,Leaving Lane,True,PV @ target lane,Object,False
00054.mp4,Leaving Lane,Leaving Lane,True,Other,PV @ target lane,False
00063.mp4,Straight at intersection,Driving in Lane,False,Other vehicle on the adjacent lane,PV cut-in,False
00064.mp4,Leaving Lane,Leaving Lane,True,PV @ target lane,SV @ target lane,False
00071.mp4,Leaving Lane,Leaving Lane,True,PV @ target lane,SV @ target lane,False
00072.mp4,Leaving Lane,Leaving Lane,True,PV @ target lane,SV @ target lane,False
00076.mp4,Leaving Lane,Leaving Lane,True,PV @ target lane,SV @ target lane,False
00077.mp4,Driving in Lane,Driving in Lane,True,PV cut-in,PV braking / slower,False
00078.mp4,Driving in Lane,Straight at intersection,False,PV stopped,PV Slower / Braking / Stopped,False
00081.mp4,Driving in Lane,Straight at intersection,False,PV cut-in,Other vehicle approaching from side,False
00083.mp4,Driving in Lane,Driving in Lane,True,Other,PV stopped,False
00085.mp4,Turning at intersection,Straight at intersection,False,Other vehicle on the adjacent lane,Other vehicle approaching from side,False
00090.mp4,Driving in Lane,Straight at intersection,False,Oncoming vehicle,Other vehicle approaching from side,False
00093.mp4,Driving in Lane,Driving in Lane,True,PV stopped,PV braking / slower,False
00095.mp4,Driving in Lane,Other,False,Other,Add Comment,False
00097.mp4,Leaving Lane,Leaving Lane,True,RV @ target lane,SV @ target lane,False
00098.mp4,Driving in Lane,Driving in Lane,True,PV stopped,PV braking / slower,False
00099.mp4,Straight at intersection,Straight at intersection,True,Other vehicle approaching from side,Other vehicle on the adjacent lane,False
00106.mp4,Other,Turning at intersection,False,Add Comment,Other vehicle approaching from front / opposite,False
00108.mp4,Driving in Lane,Other,False,Oncoming vehicle,Add Comment,False
00110.mp4,Driving in Lane,Driving in Lane,True,PV stopped,PV cut-in,False
00111.mp4,Driving in Lane,Turning at intersection,False,PV stopped,PV Slower / Braking / Stopped,False
00114.mp4,Straight at intersection,Straight at intersection,True,Other,PV Slower / Braking / Stopped,False
00117.mp4,Leaving Lane,Leaving Lane,True,PV @ target lane,RV @ target lane,False
00119.mp4,Driving in Lane,Straight at intersection,False,PV cut-in,Other vehicle approaching from side,False
00124.mp4,Driving in Lane,Driving in Lane,True,PV stopped,PV cut-out,False
00133.mp4,Leaving Lane,Leaving Lane,True,PV @ target lane,SV @ target lane,False
00135.mp4,Turning at intersection,Turning at intersection,True,Other,Other vehicle on the adjacent lane,False
00138.mp4,Driving in Lane,Turning at intersection,False,PV cut-in,Other vehicle on the adjacent lane,False
00141.mp4,Driving in Lane,Driving in Lane,True,PV stopped,PV cut-in,False
00142.mp4,Driving in Lane,Straight at intersection,False,PV cut-in,PV Slower / Braking / Stopped,False
00147.mp4,Leaving Lane,Turning at intersection,False,PV @ target lane,Other vehicle on the adjacent lane,False
00148.mp4,Straight at intersection,Turning at intersection,False,Other,Other,True
00152.mp4,Turning at intersection,Driving in Lane,False,Other,PV cut-in,False
00153.mp4,Driving in Lane,Driving in Lane,True,PV stopped,PV braking / slower,False
00154.mp4,Turning at intersection,Turning at intersection,True,Other vehicle approaching from front / opposite,Other vehicle approaching from side,False
00155.mp4,Driving in Lane,Straight at intersection,False,PV cut-in,Other vehicle approaching from side,False
00158.mp4,Driving in Lane,Driving in Lane,True,PV stopped,PV braking / slower,False
00162.mp4,Driving in Lane,Driving in Lane,True,PV stopped,PV cut-in,False
00164.mp4,Driving in Lane,Driving in Lane,True,PV stopped,Other,False
00167.mp4,Leaving Lane,Leaving Lane,True,PV @ target lane,SV @ target lane,False
00169.mp4,Turning at intersection,Straight at intersection,False,Other vehicle on the adjacent lane,Other vehicle on the adjacent lane,True
00170.mp4,Leaving Lane,Leaving Lane,True,PV @ target lane,SV @ target lane,False
00172.mp4,Straight at intersection,Straight at intersection,True,Other vehicle approaching from front / opposite,Other vehicle approaching from side,False
00177.mp4,Turning at intersection,Straight at intersection,False,Other vehicle approaching from side,Other vehicle approaching from side,True
00179.mp4,Driving in Lane,Driving in Lane,True,PV stopped,PV braking / slower,False
00181.mp4,Driving in Lane,Driving in Lane,True,PV stopped,PV braking / slower,False
00184.mp4,Leaving Lane,Driving in Lane,False,PV @ target lane,PV cut-in,False
00187.mp4,Other,Leaving Lane,False,Add Comment,SV @ target lane,False
00194.mp4,Driving in Lane,Driving in Lane,True,PV stopped,PV braking / slower,False
00200.mp4,Driving in Lane,Straight at intersection,False,PV cut-in,Other vehicle on the adjacent lane,False
00201.mp4,Leaving Lane,Leaving Lane,True,PV @ target lane,SV @ target lane,False
00205.mp4,Driving in Lane,Driving in Lane,True,PV stopped,PV braking / slower,False
00209.mp4,Turning at intersection,Straight at intersection,False,Other vehicle on the adjacent lane,Other,False
00225.mp4,Driving in Lane,Other,False,Other,Add Comment,False
00228.mp4,Driving in Lane,Driving in Lane,True,PV braking / slower,PV stopped,False
00235.mp4,Driving in Lane,Other,False,Other,Add Comment,False
00239.mp4,Turning at intersection,Straight at intersection,False,Other,Other vehicle on the adjacent lane,False
00240.mp4,Driving in Lane,Driving in Lane,True,PV stopped,PV braking / slower,False
00250.mp4,Driving in Lane,Driving in Lane,True,PV stopped,PV braking / slower,False
00253.mp4,Driving in Lane,Other,False,Other,Add Comment,False
00256.mp4,Driving in Lane,Leaving Lane,False,PV stopped,PV @ target lane,False
00260.mp4,Driving in Lane,Straight at intersection,False,PV cut-in,Other vehicle approaching from side,False
00262.mp4,Driving in Lane,Other,False,Other,Add Comment,False
00263.mp4,Turning at intersection,Straight at intersection,False,Other vehicle approaching from side,Other vehicle on the adjacent lane,False
00265.mp4,Leaving Lane,Driving in Lane,False,PV @ target lane,PV braking / slower,False
