Video Name,Scenario Level 1,Scenario Level 2,Source
00000.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00004.mp4,Leaving Lane,PV @ target lane,R1_R2_Match
00007.mp4,Leaving Lane,PV @ target lane,R1_R2_Match
00008.mp4,Leaving Lane,PV @ target lane,R1_R2_Match
00010.mp4,Leaving Lane,PV @ target lane,R1_R2_Match
00017.mp4,Driving in Lane,PV stopped,R1_R2_Match
00021.mp4,Driving in Lane,PV stopped,R1_R2_Match
00022.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00024.mp4,Leaving Lane,PV @ target lane,R1_R2_Match
00025.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00028.mp4,Driving in Lane,PV stopped,R1_R2_Match
00031.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00032.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00040.mp4,Straight at intersection,Other vehicle approaching from side,R1_R2_Match
00043.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00044.mp4,Straight at intersection,Other vehicle approaching from side,R1_R2_Match
00055.mp4,Driving in Lane,PV stopped,R1_R2_Match
00056.mp4,Straight at intersection,Other vehicle approaching from side,R1_R2_Match
00057.mp4,Driving in Lane,PV stopped,R1_R2_Match
00058.mp4,Turning at intersection,PV Slower / Braking / Stopped,R1_R2_Match
00059.mp4,Leaving Lane,PV @ target lane,R1_R2_Match
00060.mp4,Driving in Lane,PV stopped,R1_R2_Match
00061.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00062.mp4,Straight at intersection,Other vehicle approaching from side,R1_R2_Match
00065.mp4,Driving in Lane,PV stopped,R1_R2_Match
00066.mp4,Straight at intersection,Other vehicle approaching from side,R1_R2_Match
00068.mp4,Driving in Lane,PV stopped,R1_R2_Match
00074.mp4,Turning at intersection,PV Slower / Braking / Stopped,R1_R2_Match
00079.mp4,Turning at intersection,PV Slower / Braking / Stopped,R1_R2_Match
00082.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00084.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00086.mp4,Driving in Lane,PV braking / slower,R1_R2_Match
00089.mp4,Straight at intersection,Other vehicle approaching from side,R1_R2_Match
00096.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00100.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00102.mp4,Driving in Lane,PV stopped,R1_R2_Match
00103.mp4,Straight at intersection,Other vehicle approaching from side,R1_R2_Match
00104.mp4,Driving in Lane,PV stopped,R1_R2_Match
00105.mp4,Straight at intersection,Other vehicle approaching from side,R1_R2_Match
00109.mp4,Driving in Lane,PV stopped,R1_R2_Match
00112.mp4,Turning at intersection,PV Slower / Braking / Stopped,R1_R2_Match
00118.mp4,Driving in Lane,PV stopped,R1_R2_Match
00121.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00122.mp4,Straight at intersection,Other vehicle approaching from side,R1_R2_Match
00123.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00125.mp4,Straight at intersection,Other vehicle approaching from side,R1_R2_Match
00127.mp4,Straight at intersection,Other vehicle approaching from front / opposite,R1_R2_Match
00128.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00129.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00130.mp4,Driving in Lane,PV stopped,R1_R2_Match
00131.mp4,Straight at intersection,Other vehicle approaching from side,R1_R2_Match
00132.mp4,Straight at intersection,Other vehicle approaching from side,R1_R2_Match
00136.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00143.mp4,Straight at intersection,Other vehicle approaching from side,R1_R2_Match
00144.mp4,Driving in Lane,PV stopped,R1_R2_Match
00145.mp4,Driving in Lane,PV stopped,R1_R2_Match
00149.mp4,Driving in Lane,PV stopped,R1_R2_Match
00151.mp4,Driving in Lane,PV stopped,R1_R2_Match
00157.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00160.mp4,Driving in Lane,PV stopped,R1_R2_Match
00163.mp4,Driving in Lane,Other,R1_R2_Match
00166.mp4,Straight at intersection,Other vehicle approaching from side,R1_R2_Match
00168.mp4,Straight at intersection,Other vehicle approaching from front / opposite,R1_R2_Match
00171.mp4,Driving in Lane,PV braking / slower,R1_R2_Match
00173.mp4,Driving in Lane,PV stopped,R1_R2_Match
00174.mp4,Turning at intersection,PV Slower / Braking / Stopped,R1_R2_Match
00175.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00180.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00183.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00188.mp4,Straight at intersection,Other vehicle approaching from side,R1_R2_Match
00189.mp4,Driving in Lane,PV stopped,R1_R2_Match
00190.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00192.mp4,Straight at intersection,Other vehicle approaching from side,R1_R2_Match
00195.mp4,Turning at intersection,Other vehicle approaching from front / opposite,R1_R2_Match
00199.mp4,Straight at intersection,Other vehicle approaching from side,R1_R2_Match
00202.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00206.mp4,Other,Add Comment,R1_R2_Match
00207.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00208.mp4,Straight at intersection,Other vehicle approaching from front / opposite,R1_R2_Match
00210.mp4,Turning at intersection,Other vehicle approaching from side,R1_R2_Match
00213.mp4,Driving in Lane,PV stopped,R1_R2_Match
00214.mp4,Turning at intersection,Other vehicle on the adjacent lane,R1_R2_Match
00216.mp4,Turning at intersection,Other vehicle approaching from front / opposite,R1_R2_Match
00217.mp4,Turning at intersection,Other vehicle on the adjacent lane,R1_R2_Match
00218.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00222.mp4,Turning at intersection,PV Slower / Braking / Stopped,R1_R2_Match
00223.mp4,Turning at intersection,Other vehicle on the adjacent lane,R1_R2_Match
00224.mp4,Driving in Lane,PV stopped,R1_R2_Match
00226.mp4,Driving in Lane,PV stopped,R1_R2_Match
00227.mp4,Driving in Lane,PV stopped,R1_R2_Match
00232.mp4,Straight at intersection,Other vehicle approaching from side,R1_R2_Match
00233.mp4,Turning at intersection,PV Slower / Braking / Stopped,R1_R2_Match
00234.mp4,Driving in Lane,PV stopped,R1_R2_Match
00236.mp4,Driving in Lane,PV stopped,R1_R2_Match
00237.mp4,Driving in Lane,PV stopped,R1_R2_Match
00238.mp4,Driving in Lane,PV stopped,R1_R2_Match
00242.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00244.mp4,Turning at intersection,Other vehicle approaching from front / opposite,R1_R2_Match
00245.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00247.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00251.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00252.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00254.mp4,Straight at intersection,Other vehicle on the adjacent lane,R1_R2_Match
00255.mp4,Driving in Lane,PV stopped,R1_R2_Match
00259.mp4,Leaving Lane,PV @ target lane,R1_R2_Match
00264.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00266.mp4,Driving in Lane,PV braking / slower,R1_R2_Match
00270.mp4,Leaving Lane,PV @ target lane,R1_R2_Match
00271.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00272.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00273.mp4,Straight at intersection,Other vehicle on the adjacent lane,R1_R2_Match
00275.mp4,Driving in Lane,PV braking / slower,R1_R2_Match
00285.mp4,Leaving Lane,PV @ target lane,R1_R2_Match
00286.mp4,Turning at intersection,PV Slower / Braking / Stopped,R1_R2_Match
00291.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00294.mp4,Driving in Lane,PV braking / slower,R1_R2_Match
00295.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00298.mp4,Driving in Lane,PV braking / slower,R1_R2_Match
00300.mp4,Driving in Lane,PV braking / slower,R1_R2_Match
00301.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00303.mp4,Straight at intersection,Other vehicle approaching from front / opposite,R1_R2_Match
00307.mp4,Driving in Lane,PV braking / slower,R1_R2_Match
00310.mp4,Straight at intersection,Other vehicle approaching from side,R1_R2_Match
00311.mp4,Driving in Lane,PV stopped,R1_R2_Match
00312.mp4,Driving in Lane,PV stopped,R1_R2_Match
00313.mp4,Straight at intersection,Other vehicle approaching from side,R1_R2_Match
00317.mp4,Driving in Lane,PV braking / slower,R1_R2_Match
00319.mp4,Straight at intersection,Other vehicle approaching from side,R1_R2_Match
00320.mp4,Other,Add Comment,R1_R2_Match
00321.mp4,Straight at intersection,Other vehicle approaching from side,R1_R2_Match
00324.mp4,Turning at intersection,Other vehicle approaching from side,R1_R2_Match
00325.mp4,Driving in Lane,PV braking / slower,R1_R2_Match
00327.mp4,Driving in Lane,PV stopped,R1_R2_Match
00328.mp4,Straight at intersection,Other vehicle on the adjacent lane,R1_R2_Match
00329.mp4,Driving in Lane,PV stopped,R1_R2_Match
00330.mp4,Straight at intersection,Other vehicle approaching from side,R1_R2_Match
00331.mp4,Turning at intersection,PV Slower / Braking / Stopped,R1_R2_Match
00332.mp4,Straight at intersection,Other vehicle approaching from front / opposite,R1_R2_Match
00333.mp4,Driving in Lane,PV stopped,R1_R2_Match
00334.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00335.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00339.mp4,Driving in Lane,PV braking / slower,R1_R2_Match
00340.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00345.mp4,Straight at intersection,Other vehicle approaching from side,R1_R2_Match
00348.mp4,Straight at intersection,Other vehicle approaching from front / opposite,R1_R2_Match
00355.mp4,Straight at intersection,Other vehicle approaching from side,R1_R2_Match
00356.mp4,Turning at intersection,Other vehicle approaching from front / opposite,R1_R2_Match
00358.mp4,Driving in Lane,PV braking / slower,R1_R2_Match
00360.mp4,Turning at intersection,Other vehicle approaching from side,R1_R2_Match
00364.mp4,Driving in Lane,PV braking / slower,R1_R2_Match
00366.mp4,Driving in Lane,PV stopped,R1_R2_Match
00369.mp4,Straight at intersection,Other vehicle approaching from side,R1_R2_Match
00371.mp4,Straight at intersection,Other vehicle approaching from side,R1_R2_Match
00375.mp4,Turning at intersection,PV Slower / Braking / Stopped,R1_R2_Match
00382.mp4,Leaving Lane,PV @ target lane,R1_R2_Match
00388.mp4,Straight at intersection,Other vehicle approaching from side,R1_R2_Match
00391.mp4,Driving in Lane,Other,R1_R2_Match
00392.mp4,Straight at intersection,Other vehicle approaching from side,R1_R2_Match
00393.mp4,Driving in Lane,PV stopped,R1_R2_Match
00394.mp4,Turning at intersection,Other vehicle approaching from side,R1_R2_Match
00395.mp4,Straight at intersection,Other vehicle approaching from side,R1_R2_Match
00397.mp4,Turning at intersection,Other vehicle approaching from front / opposite,R1_R2_Match
00398.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00403.mp4,Turning at intersection,Other vehicle on the adjacent lane,R1_R2_Match
00406.mp4,Turning at intersection,Other vehicle approaching from front / opposite,R1_R2_Match
00407.mp4,Driving in Lane,PV stopped,R1_R2_Match
00408.mp4,Driving in Lane,PV cut-in,R1_R2_Match
00410.mp4,Driving in Lane,PV stopped,R1_R2_Match
00411.mp4,Leaving Lane,SV @ target lane,R1_R2_Match
00413.mp4,Driving in Lane,PV stopped,R1_R2_Match
00416.mp4,Driving in Lane,PV stopped,R1_R2_Match
00417.mp4,Driving in Lane,PV braking / slower,R1_R2_Match
00418.mp4,Driving in Lane,PV stopped,R1_R2_Match
