Annotator,Video Name,Category,Scenario Level 1,Scenario Level 2,Ego_X,Ego_Y,Ego_Angle,Other_X,Other_Y,Other_Angle,Target not visible,Ego Emergency Maneuver Required,Unexpected Maneuver,Night or Low Light,Rain/Snow/Fog,Cyclist/Scooter Involved,Pedestrian Involved,Nothing Special Observed,Comment
Saeed Rahmani,00003.mp4,accident,Driving in Lane,PV braking / slower,118,112,90,118,42,90,False,False,False,True,True,False,False,False,
Saeed Rahmani,00005.mp4,near-miss,Turning at intersection,Other vehicle on the adjacent lane,160,115,123.69006752597979,104,93,90,True,True,False,False,True,False,False,False,
Saeed Rahmani,00006.mp4,accident,Driving in Lane,PV braking / slower,85,143,90,85,70,90,False,False,False,False,False,False,False,True,
Saeed Rahmani,00013.mp4,accident,Straight at intersection,Other vehicle approaching from side,52,143,90,106,99,161.565051177078,True,True,True,False,False,False,False,False,
Saeed Rahmani,00014.mp4,accident,Turning at intersection,Other vehicle approaching from front / opposite,101,112,145.5610106911964,112,51,270.0,False,False,True,False,False,False,False,False,
Saeed Rahmani,00015.mp4,accident,Driving in Lane,PV stopped,117,123,72.71850162818336,97,48,90,False,True,False,False,False,False,False,False,
Saeed Rahmani,00016.mp4,accident,Leaving Lane,SV @ target lane,133,95,73.17859010995917,178,71,90,False,False,False,False,False,False,False,True,
Saeed Rahmani,00018.mp4,accident,Straight at intersection,Other vehicle approaching from side,132,113,88.63607246839707,83,66,1.3019526725788753,True,True,True,False,False,False,False,False,
Saeed Rahmani,00019.mp4,accident,Straight at intersection,Other vehicle approaching from side,118,119,90,152,68,180.0,True,True,True,False,False,False,False,False,
Saeed Rahmani,00023.mp4,accident,Turning at intersection,Other vehicle approaching from side,141,115,114.34108993669251,85,70,358.6677801461304,True,True,False,False,False,False,False,False,
Saeed Rahmani,00026.mp4,accident,Driving in Lane,Other,110,53,90,110,123,90,True,False,False,False,False,False,False,False,Scene not visible at all
Saeed Rahmani,00027.mp4,near-miss,Driving in Lane,PV stopped,130,133,86.49646835521554,107,59,90,False,False,False,True,False,False,False,False,
Saeed Rahmani,00029.mp4,accident,Driving in Lane,PV cut-in,108,132,90,137,67,104.03624346792648,False,True,True,False,False,False,False,False,
Saeed Rahmani,00037.mp4,accident,Straight at intersection,Other vehicle approaching from front / opposite,109,141,88.95837332399003,79,76,347.98852161363453,True,True,True,True,False,False,False,False,
Saeed Rahmani,00039.mp4,accident,Driving in Lane,PV stopped,85,139,90,85,70,90,False,False,False,False,False,False,False,True,
Saeed Rahmani,00041.mp4,accident,Driving in Lane,Other,85,139,90,85,70,90,False,False,True,True,False,False,False,False,Other vehicle reverse movement
Saeed Rahmani,00042.mp4,accident,Straight at intersection,Other vehicle on the adjacent lane,102,122,90,122,64,138.0940580589171,False,True,True,True,False,False,False,False,
Saeed Rahmani,00046.mp4,accident,Driving in Lane,PV stopped,85,138,90,85,70,90,False,False,False,False,False,False,False,True,
Saeed Rahmani,00047.mp4,accident,Straight at intersection,Other vehicle approaching from side,128,136,90,167,82,176.82016988013575,True,True,True,False,False,False,False,False,
Saeed Rahmani,00048.mp4,near-miss,Turning at intersection,Other vehicle on the adjacent lane,94,124,45.0,151,101,90,True,True,True,True,False,False,False,False,
Saeed Rahmani,00049.mp4,accident,Leaving Lane,SV @ target lane,96,131,70.70995378081128,141,89,90,False,False,False,False,False,False,False,True,
Saeed Rahmani,00054.mp4,accident,Turning at intersection,Other,139,117,126.6561084159669,95,145,351.1193408494797,False,False,True,False,False,False,False,False,Scene not visible
Saeed Rahmani,00063.mp4,near-miss,Straight at intersection,Other vehicle on the adjacent lane,115,149,90,85,70,70.70995378081128,False,True,True,False,False,False,False,False,
Saeed Rahmani,00064.mp4,accident,Leaving Lane,SV @ target lane,76,115,74.87599269168945,120,87,90,True,False,False,True,False,False,False,False,
Saeed Rahmani,00071.mp4,accident,Leaving Lane,SV @ target lane,136,79,120.52970589993411,86,90,90,False,False,False,False,False,False,False,True,
Saeed Rahmani,00072.mp4,accident,Turning at intersection,Other vehicle on the adjacent lane,77,89,78.69006752597979,117,106,90,True,False,True,True,False,False,False,False,
Saeed Rahmani,00076.mp4,near-miss,Leaving Lane,SV @ target lane,97,84,70.01689347810003,147,84,90,False,False,False,True,False,False,False,False,
Saeed Rahmani,00077.mp4,accident,Driving in Lane,PV cut-in,93,146,90,94,73,90,False,True,False,False,False,False,False,False,
Saeed Rahmani,00078.mp4,accident,Driving in Lane,PV braking / slower,95,139,90,94,70,90,False,True,False,False,False,False,False,False,
Saeed Rahmani,00081.mp4,accident,Straight at intersection,Other vehicle approaching from side,136,108,90,85,70,358.9390883097358,True,False,True,False,False,False,False,False,
Saeed Rahmani,00036.mp4,accident,Straight at intersection,Other vehicle approaching from side,133,117,90,165,52,195.52411099675425,True,True,True,False,False,False,False,False,
Saeed Rahmani,00083.mp4,accident,Driving in Lane,PV braking / slower,86,139,90,85,70,90,False,False,False,True,False,False,False,False,Scene not visible clearly in the camera. Information inferred
Saeed Rahmani,00085.mp4,accident,Straight at intersection,Other vehicle on the adjacent lane,165,120,90,121,97,60.57254359681026,True,False,True,True,False,False,False,False,
Saeed Rahmani,00090.mp4,near-miss,Straight at intersection,Other vehicle approaching from front / opposite,148,83,90,85,70,347.347443499442,True,True,True,False,False,False,False,False,
Saeed Rahmani,00093.mp4,accident,Driving in Lane,PV stopped,86,136,90,85,70,90,False,False,False,True,True,False,False,False,Scene not visible clearly in dashcam
Saeed Rahmani,00095.mp4,accident,Driving in Lane,Other,124,119,90,90,83,86.09950625761812,True,False,True,False,False,False,False,False,Large truck turning and side crash to the ego
Saeed Rahmani,00097.mp4,accident,Leaving Lane,SV @ target lane,123,71,108.8531587644191,81,105,90,True,False,False,False,False,False,False,False,
Saeed Rahmani,00098.mp4,accident,Driving in Lane,PV stopped,74,141,90,85,70,90,False,False,False,False,False,False,False,True,
Saeed Rahmani,00099.mp4,accident,Straight at intersection,Other vehicle on the adjacent lane,154,118,90.0,118,75,63.43494882292201,False,True,True,False,False,False,False,False,
Saeed Rahmani,00106.mp4,accident,Turning at intersection,Other vehicle approaching from front / opposite,141,89,181.02303018866783,85,70,268.69804732742114,True,True,False,True,False,False,False,False,
Saeed Rahmani,00108.mp4,accident,Other,Add Comment,165,120,90,85,70,90,False,False,True,True,False,False,False,False,ego vehicle stopped. Other oncoming vehicle crashing into it
Saeed Rahmani,00110.mp4,accident,Driving in Lane,PV cut-in,73,149,90,85,70,98.13010235415598,False,False,False,False,False,False,False,True,
Saeed Rahmani,00111.mp4,accident,Driving in Lane,PV stopped,74,140,90,85,70,90,False,False,False,False,False,False,False,True,
Saeed Rahmani,00114.mp4,accident,Driving in Lane,Other,60,125,90,85,70,176.9335144988741,False,True,True,True,True,False,False,False,Other vehicle making u-turn
Saeed Rahmani,00117.mp4,accident,Leaving Lane,SV @ target lane,102,99,60.70863782901574,152,88,90,True,False,True,False,False,False,False,False,
Saeed Rahmani,00119.mp4,accident,Straight at intersection,Other vehicle approaching from side,143,73,90.0,85,70,29.291362170984254,False,False,True,True,False,False,False,False,
Saeed Rahmani,00124.mp4,accident,Driving in Lane,PV cut-out,85,139,90,85,70,90,True,True,False,False,False,False,False,False,
Saeed Rahmani,00133.mp4,accident,Leaving Lane,PV @ target lane,55,134,80.7273982227997,85,70,90,False,False,False,False,False,False,False,True,
Saeed Rahmani,00135.mp4,accident,Turning at intersection,Other vehicle on the adjacent lane,138,84,129.47245984834385,83,72,90,True,False,False,False,False,False,False,False,
Saeed Rahmani,00138.mp4,near-miss,Leaving Lane,SV @ target lane,139,78,105.70863782901574,85,70,81.34745820888527,False,True,True,True,False,False,False,False,
Saeed Rahmani,00141.mp4,accident,Driving in Lane,PV stopped,140,100,90,104,69,79.8244891569568,False,True,False,False,False,False,False,False,
Saeed Rahmani,00142.mp4,accident,Straight at intersection,Other vehicle on the adjacent lane,91,142,90,85,70,125.88213724620422,False,True,True,False,False,False,False,False,
Saeed Rahmani,00147.mp4,accident,Turning at intersection,Other vehicle on the adjacent lane,150,66,91.02303018866785,109,110,79.2157021324374,False,False,False,True,False,False,False,False,
Saeed Rahmani,00148.mp4,accident,Straight at intersection,Other vehicle on the adjacent lane,146,90,121.86597769360368,95,101,90,False,False,True,False,False,False,False,False,
Saeed Rahmani,00152.mp4,accident,Turning at intersection,Other,130,46,116.56505117707799,82,68,83.6598082540901,False,False,True,False,False,False,False,False,Other vehicle coming out of parking
Saeed Rahmani,00153.mp4,accident,Driving in Lane,PV braking / slower,121,100,90,121,30,90,False,False,False,False,True,False,False,False,
Saeed Rahmani,00154.mp4,accident,Turning at intersection,Other vehicle approaching from front / opposite,118,111,133.36342295838327,96,37,268.2100893917539,False,False,True,False,False,False,False,False,
Saeed Rahmani,00155.mp4,accident,Straight at intersection,Other vehicle approaching from side,134,111,90,85,70,20.353229148068834,True,False,True,False,False,False,False,False,
Saeed Rahmani,00158.mp4,near-miss,Driving in Lane,PV cut-in,122,103,90.0,121,30,90,False,False,True,False,False,False,False,False,
Saeed Rahmani,00162.mp4,near-miss,Straight at intersection,Other vehicle on the adjacent lane,98,120,90.0,110,44,102.0947570770121,False,False,True,False,False,False,False,False,
Saeed Rahmani,00164.mp4,accident,Driving in Lane,PV braking / slower,112,100,90,114,30,90,True,False,False,True,False,False,False,False,Camera facing up and tarhet not visible.
Saeed Rahmani,00167.mp4,near-miss,Leaving Lane,SV @ target lane,131,53,104.34933204294714,85,70,84.8055710922652,False,False,False,False,True,False,False,False,
Saeed Rahmani,00169.mp4,accident,Turning at intersection,Other vehicle on the adjacent lane,125,101,90,160,61,107.96913974015703,False,False,False,False,True,False,False,False,
Saeed Rahmani,00170.mp4,accident,Other,Add Comment,137,92,112.89055165624833,88,46,90,False,False,False,True,False,False,False,False,Work zone at an intersection.
Saeed Rahmani,00172.mp4,accident,Straight at intersection,Other vehicle approaching from front / opposite,135,85,90,85,38,344.05460409907715,True,True,True,False,False,False,False,False,
Saeed Rahmani,00177.mp4,accident,Turning at intersection,Other vehicle approaching from side,112,92,90,112,40,358.6521127198014,True,False,False,False,False,False,False,False,
Saeed Rahmani,00179.mp4,near-miss,Driving in Lane,PV braking / slower,101,115,90,103,40,90,False,False,False,False,False,False,False,True,
Saeed Rahmani,00181.mp4,accident,Driving in Lane,PV stopped,115,102,90,116,35,90,True,False,False,True,False,False,False,False,Camera facing up - target vehicle not visible clearly
Saeed Rahmani,00184.mp4,accident,Straight at intersection,Other vehicle on the adjacent lane,121,45,90,85,70,90,True,False,True,True,False,False,False,False,
Saeed Rahmani,00187.mp4,accident,Leaving Lane,SV @ target lane,124,71,102.01147838636544,78,68,84.05313694602651,True,False,False,False,False,False,False,False,
Saeed Rahmani,00194.mp4,accident,Driving in Lane,PV braking / slower,112,100,90,100,30,90,False,False,False,False,False,False,False,True,
Saeed Rahmani,00200.mp4,accident,Driving in Lane,PV cut-in,133,114,90,104,64,59.47029410006589,False,False,True,True,False,False,False,False,
Saeed Rahmani,00201.mp4,accident,Leaving Lane,SV @ target lane,69,99,68.74949449286676,115,54,88.63607246839707,True,False,False,True,False,False,False,False,
Saeed Rahmani,00205.mp4,accident,Driving in Lane,PV braking / slower,125,122,90,125,54,90,False,False,False,True,False,False,False,False,
Saeed Rahmani,00209.mp4,accident,Straight at intersection,Other vehicle on the adjacent lane,131,115,90,83,95,56.72511201516508,True,False,False,True,False,False,False,False,
Saeed Rahmani,00225.mp4,accident,Other,Add Comment,130,118,90,99,49,120.25643716352927,False,False,False,True,True,False,False,False,Vehicle coming out from parking space
Saeed Rahmani,00228.mp4,accident,Driving in Lane,PV braking / slower,102,117,90,102,49,90,False,False,False,False,False,False,False,True,
Saeed Rahmani,00235.mp4,accident,Other,Add Comment,110,63,90,162,58,178.49256424122504,False,False,False,False,False,False,False,True,Vehicle coming out of a parking space
